GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.formats,TabularFormat.TabSeparated,0,5,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.formats,TabularFormat.Default,0,5,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,CountAggregatingHeuristic.new Predicate() {...},0,11,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,StrictHeuristic,0,43,0,0,0,5,0,4,0,4
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,HeaderHeuristic.Default,2,12,0,0,1,3,1,3,1,3
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,RunningMinMaxHeuristic,2,88,0,6,1,14,1,6,1,3
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,CountAggregatingHeuristic,0,122,0,8,0,21,0,11,0,7
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,HeaderHeuristic.Default.new Predicate() {...},0,9,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.heuristics,FractionHeuristic,0,36,0,2,0,6,0,4,0,3
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata,TabularMetadataGenerator,66,134,12,8,2,30,9,8,1,6
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata,TabularScanner,0,94,0,10,0,23,0,10,0,5
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata,TabularMetadataGenerator.new TabularMetadataGenerator.Extractor() {...},0,6,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata,TabularMetadataGenerator.new TabularMetadataGenerator.Extractor() {...},0,6,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata,TabularMetadata,0,21,0,0,0,8,0,4,0,4
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,GeographicValue,0,35,0,4,0,8,0,5,0,3
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType,0,169,0,2,0,22,0,8,0,7
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,13,0,0,0,3,0,3,0,3
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,24,0,2,0,5,0,3,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,23,0,2,0,5,0,3,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,19,0,0,0,4,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,19,0,0,0,4,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,19,0,0,0,4,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new Function() {...},0,7,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new Supplier() {...},0,27,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new Comparator() {...},0,11,0,0,0,2,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,27,0,0,0,5,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new Predicate() {...},0,17,0,0,0,5,0,2,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,DataType.new DataType() {...},0,29,0,4,0,6,0,4,0,2
Tabular Metadata Generator,com.asoroka.sidora.tabularmetadata.datatype,ParsingException,0,9,0,0,0,4,0,2,0,2
